title|url|text|category
cómo fermentar levadura|https://www.recetasnestle.com.mx/escuela-sabor/coccion/como-fermentar-levadura|en un recipiente agrega un sobre de 11g de levadura seca  una cucharadita de azúcar  cinco cucharaditas de agua tibia y mezcla hasta que se disuelva pon a hervir una cacerola con agua  apaga el fuego y coloca una bandeja sobre ella sobre la bandeja coloca el recipiente que tiene la levadura y déjalo reposar para que fermente hasta que doble su volumen|Recetas
halloween|https://www.recetasnestle.com.mx/escuela-sabor/halloween|main text|Recetas
crepas caseras ¡es posible!|https://www.recetasnestle.com.mx/escuela-sabor/caseras/crepas-caseras-es-posible|primero mezcla 2 huevos con una taza y media de harina y una lata de leche evaporada carnation® clavel®calienta un poco de mantequilla en una sartén  recuerda usar uno de teflón para que puedan despegarse facilmenteagrega un cucharón de la mezcla para crepas  ladea la sartén para cubrir toda la superficie y retira el exceso cocina la crepa por ambos lados a fuego bajo y reserva¡es muy fácil  puedes usar estas crepas para recetas dulces y saladas que a tu familia le encantarán!|Recetas
cómo fermentar la masa|https://www.recetasnestle.com.mx/escuela-sabor/coccion/como-fermentar-la-masa|pon a hervir una cacerola con agua  apaga el fuego y coloca una bandeja sobre ella sobre la charola coloca el recipiente que tiene la masa del pan y cúbrelo con un trapo húmedo con agua calientedéjala reposar hasta que doble su volumenforma el pan y déjalo reposar hasta que doble su volumen|Recetas
cómo cocinar romeritos|https://www.recetasnestle.com.mx/escuela-sabor/ingredientes/cocinar-romeritos|hierve 3 litros de agua con una pizca de bicarbonato  agrega los romeritos limpios y cocina hasta que estén suaves|Recetas
nestlé apoya el desarrollo de jóvenes emprendedores en latinoamérica|https://www.recetasnestle.com.mx/escuela-sabor/nestle-apoya-el-desarrollo-de-jovenes-emprendedores-en-latinoamerica|desde 2013  la iniciativa por los jóvenes de nestlé es un compromiso destinado a contribuir a la preparación y capacitación de las próximas generaciones el desafío “iniciativa por los jóvenes–comprometidos”  co-organizado con ashoka  la red líder mundial de emprendedores sociales  apoya a la iniciativa por los jóvenes de nestlé y su ambición global de ayudar a 10 millones de jóvenes de todo el mundo a tener acceso a oportunidades económicas para el 2030algunas de las actividades en que participarán los jóvenes emprendedores son: introducción a redes sociales y marketing de la mano de facebook  mentorías con referentes de gobierno  capacitaciones en gestión de alianzas y modelo de negocio a cargo de udesa  charla sobre cadena de valor con sap y directv  seguridad informática con eset latinoamérica  innovación de la mano de nestlé y momentos de reflexión con emprendedores sociales de ashokade los 10 proyectos participantes  2 pertenecen a jóvenes mexicanos: nestlé invierte continuamente en la próxima generación de talentos  con el objetivo de brindarles las habilidades que se requerirán para los trabajos del futuro y ayudarlos a tener un desarrollo de carrera próspero queremos que los jóvenes se conviertan en innovadores  emprendedores y creadores exitosos  independientemente de su campo o nivel de experiencia|Recetas
cómo cocer pasta perfecta|https://www.recetasnestle.com.mx/escuela-sabor/coccion/cocer-pasta-perfecta||Recetas
cómo filetear cebolla|https://www.recetasnestle.com.mx/escuela-sabor/ingredientes/filetear-cebolla||Recetas
cómo conservar hierbas frescas|https://www.recetasnestle.com.mx/escuela-sabor/tips/conservar-hierbas-frescas|ingredientes como el cilantro  el perejil  el epazote o el romero forman parte de nuestras recetas de todos los días  son esos ingredientes los que le dan sabor a nuestros platillos  y es por eso que te enseñamos este truco para que los conserves frescos durante más tiempo sólo necesitas: toallas de papel y las hierbas frescas que más te gusten 1 seca las hierbas muy bien 2 envuélvelas con las toallas de papel 3 guárdalas en la parte baja del refrigerador dentro de un recipiente hermético|Recetas
cómo cortar julianas y cubos |https://www.recetasnestle.com.mx/escuela-sabor/coccion/cortar-julianas-cubos||Recetas
cómo limpiar camarones|https://www.recetasnestle.com.mx/escuela-sabor/ingredientes/limpiar-camarones|el camarón es un marisco muy versátil  ya que lo puedes preparar de muchas formas diferentes a la parrilla  en cocktail  al ajillo  con pasta o de la forma que se te ocurra  pero antes es importante escoger los más frescos y limpiarlos muy bien aquí te dejamos unos tips para el momento de escogerlos:1 opta por comprar camarones con cabeza es uno de los principales indicadores de frescura  al no estar fresco su cabeza comenzará a obscurecerse 2 deben oler a agua salada3 el color de los camarones debe ser uniforme si ves que tiene manchas o líneas amarillas o azules a lo largo de su superficie  mejor no los compres 4 cuando vayas al mercado revisa que los camarones estén refrigerados o en una capa espesa de hielo 5 si compras camarones congelados revisa que el empaque no tenga orificios y que no tenga escarcha o cristales de hielo  esto significa que llevan mucho tiempo congelados ahora sí ya sabes cómo escoger camarones  límpialos muy bien y estarán listos para que prepares las mejores recetas|Recetas
cómo capear chiles rellenos|https://www.recetasnestle.com.mx/escuela-sabor/coccion/como-capear-chiles-rellenos|primero separa las yemas de las claras de 6 huevos  luego bate las claras a punto de turrón  agrega las yemas una a una y mezcla suavemente y finalmente agrega una cucharada de harina enharina el chile y remójalo en la mezcla en un sartén calienta muy bien el aceite y fríe el chile cubriéndolo con el aceite hasta que tome un color dorado escurre sobre una servilleta de papel y ¡listo! ¿qué es el punto de turrón? al batir las claras deben tener una textura airada  firme y blanca cómo si fuera una nubeuna forma de saber si ya están listas es volteando el tazón y no deben caerse  también al momento de levantar las aspas de la batidora se formarán picos firmes|Recetas
cómo hacer huevo duro |https://www.recetasnestle.com.mx/escuela-sabor/coccion/como-hacer-huevo-duro|el  huevo es una de las proteínas que más completas y utilizables por el cuerpo humano  aporta vitamina a y b12aquí te enseñamos como hacer huevo duro para que puedas disfrutarlo solo  en ensaladas o como acompañamiento en tus comidas 1 pon de 5 a 6 huevos en una olla y cúbrelos con agua fría 2 deja hervir el agua para empezar la cocción 3 aquí te dejamos el tiempo de cocción dependiendo que tan cruda te guste la yema 4 al terminar de cocerlos ponlos en agua con hielo para que sea más fácil despegar el cascarón ¡disfruta!|Recetas
cómo desflemar berenjenas|https://www.recetasnestle.com.mx/escuela-sabor/ingredientes/desflemar-berenjenas||Recetas
cómo hidratar grenetina|https://www.recetasnestle.com.mx/escuela-sabor/tips/como-hidratar-grenetina||Recetas
cómo cocer arroz blanco|https://www.recetasnestle.com.mx/escuela-sabor/coccion/como-cocer-arroz||Recetas
cómo desalar bacalao|https://www.recetasnestle.com.mx/escuela-sabor/ingredientes/como-desalar-bacalao||Recetas
cómo cocer pulpo |https://www.recetasnestle.com.mx/escuela-sabor/coccion/como-cocer-pulpo|se acerca la temporada de cuaresma y uno de los ingredientes estrella es el pulpo  es versátil  con poco colesterol y poca grasa y aporta proteína de buena calidadte compartimos unos tips para que lo prepares como un profesional|Recetas
cómo preparar pavo|https://www.recetasnestle.com.mx/escuela-sabor/ingredientes/como-preparar-pavo||Recetas
cómo desmoldar gelatina|https://www.recetasnestle.com.mx/escuela-sabor/tips/como-desmoldar-gelatina||Recetas
cómo preparar masa de pan|https://www.recetasnestle.com.mx/escuela-sabor/coccion/como-preparar-masa-de-pan||Recetas
cómo pelar chiles poblanos|https://www.recetasnestle.com.mx/escuela-sabor/ingredientes/pelar-chiles-poblano||Recetas
cómo sujetar un cuchillo  |https://www.recetasnestle.com.mx/escuela-sabor/utensilios/sujetar-un-cuchillo|conoce la forma correcta de sostener un cuchillo para que evites hacerte daño y cortes los alimentos como todo un profesional aprender cómo sujetar un cuchillo es indispensable y un conocimiento básico para desempeñarte adecuadamente en la cocina no es necesario ser un chef profesional para utilizar uno debidamente ten en cuenta que antes de hacer un buen corte debes mantener tu integridad física  evitando que te hagas dañoes la mano no dominante u opuesta a la que usamos para sujetar el cuchillo nos ayuda a sostener los alimentos que estamos cortando y a que en el proceso no resbalen  evitando que nos lastimemos o que el corte no sea preciso ubícala de la siguiente manera:¡y eso es todo! recuerda que  con práctica y dedicación  harás esta tarea más rápida y precisa  1 cortar sobre superficies muy duras: esto causará que el cuchillo pierda su filo con facilidad lo ideal es que uses tablas de madera  las recomendadas de siempre  o de polietileno  que es un material más liviano y duradero2 arrastrar los alimentos con la parte afilada de la hoja: es un error común con el que el utensilio pierde el filo rápidamente en cambio  dale la vuelta al cuchillo y procede a empujar los ingredientes3 destinar tus cuchillos para otros usos: se refiere tanto a las labores que no tienen que ver con las propias de la cocina  como a las tareas de picar  pelar  cortar o trocear alimentos especialespara ser más específicos  hay trabajos que necesitan utensilios diferentes  por ejemplo  no debes usar un cuchillo de chef para pelar un ajo  o uno de tipo sierra para dividir quesosuna recomendación es que dispongas de tres o cuatro cuchillos para diferentes usos no hace falta tener el set completo  con que identifiques cuáles son los más esenciales para tus preparaciones  estarás listo para cocinar4 mantener desafilados los cuchillos: es imprescindible que estos utensilios estén bien afilados  pues esto reducirá el esfuerzo que debemos hacer al cortar  será más fácil de manejar y  por lo tanto  más seguro de usar 5 elegir el inadecuado: a la hora de adquirir un cuchillo revisa que al tomarlo se sienta cómodo  el mango no sea pesado o esté al revés  5 elegir el inadecuado: a la hora de adquirir un cuchillo revisa que al tomarlo se sienta cómodo  el mango no sea pesado o esté al revés|Recetas
cómo preparar pierna |https://www.recetasnestle.com.mx/escuela-sabor/coccion/como-preparar-pierna||Recetas
cómo cocer nopales|https://www.recetasnestle.com.mx/escuela-sabor/ingredientes/como-cocer-nopales|3 4|Recetas
cómo picar cebolla finamente |https://www.recetasnestle.com.mx/escuela-sabor/coccion/picar-cebolla-finamente||Recetas
